block_index,block_sparsity,test_accuracy_drop,inference_time_rel_drop,model_size_drop,FLOPs_drop,param_drop
0,0.0,0.0,0.0,0,0,0
0,0.3,0.0,0.0,87872,44904448.0,21926.0
0,0.6,0.0008333325386047363,0.0,175680,89808896.0,43852.0
0,0.8,0.0036333203315734863,0.0,235840,120532992.0,58854.0
1,0.0,0.0,0.0,0,0,0
1,0.3,0.0001333157221476237,0.0,87872,44904448.0,21926.0
1,0.6,0.002133329709370931,0.0,175680,89808896.0,43852.0
1,0.8,0.0058666666348775225,0.0,235840,120532992.0,58854.0
2,0.0,0.0,0.0,0,0,0
2,0.3,0.0006666779518127441,0.0,263168,33658880.0,65740.0
2,0.6,0.0021999875704447427,0.0,526336,67317760.0,131480.0
2,0.8,0.00826666752497355,0.0,706560,90347520.0,176460.0
3,0.0,0.0,0.0,0,0,0
3,0.3,0.0021666685740152993,0.0,350784,44865536.0,87628.0
3,0.6,0.005433320999145508,0.0,701504,89731072.0,175256.0
3,0.8,0.011666675408681234,0.0,941632,120428544.0,235212.0
4,0.0,0.0,0.0,0,0,0
4,0.3,0.0030666589736938477,0.0,1051648,33639424.0,262808.0
4,0.6,0.006199955940246582,0.0,2117376,67721472.0,529074.0
4,0.8,0.015999992688496906,0.0,2823168,90295296.0,705432.0
5,0.0,0.0,0.0,0,0,0
5,0.3,0.0012666583061218262,0.0,1401984,44846080.0,350360.0
5,0.6,0.00516664981842041,0.0,2822528,90282240.0,705330.0
5,0.8,0.011766672134399414,0.0,3763328,120376320.0,940440.0
6,0.0,0.0,0.0,0,0,0
6,0.3,0.004399975140889485,0.0,4232448,33850944.0,1057842.0
6,0.6,0.008899986743927002,0.0,8492800,67923136.0,2122598.0
6,0.8,0.017366647720336914,0.0,11314432,90490432.0,2827826.0
7,0.0,0.0,0.0,0,0,0
7,0.3,0.003866692384084066,0.0,5642560,45131328.0,1410354.0
7,0.6,0.008099993069966635,0.0,11322240,90557632.0,2829926.0
7,0.8,0.01519999901453654,0.0,15083904,120645184.0,3770162.0
